"","airlineId","year","month","type","NormalizedDelay","count"
"70410",19393,1997,5,0,3.999932,58904
"70411",19393,1997,6,0,3.999931,58115
"70412",19393,1997,7,0,3.999933,59671
"70413",19393,1997,8,0,3.999933,59785
"70414",19393,1997,9,0,3.9999318,58680
"70415",19393,1998,1,0,3.9999313,58321
"70416",19393,1998,10,0,3.9999352,61676
"70417",19393,1998,11,0,3.9999316,58444
"70418",19393,1998,12,0,3.9999335,60233
"70419",19393,1998,2,0,3.9999251,53432
"70420",19393,1998,3,0,3.9999328,59501
"70421",19393,1998,4,0,3.9999318,58694
"70422",19393,1998,5,0,3.999933,59784
"70423",19393,1998,6,0,3.9999328,59547
"70424",19393,1998,7,0,3.999935,61521
"70425",19393,1998,8,0,3.9999356,62156
"70426",19393,1998,9,0,3.9999328,59539
"70427",19393,1999,1,0,3.9999332,59976
"70428",19393,1999,10,0,3.9999382,64675
"70429",19393,1999,11,0,3.9999356,62103
"70430",19393,1999,12,0,3.999938,64515
"70431",19393,1999,2,0,3.9999285,55934
"70432",19393,1999,3,0,3.999936,62650
"70433",19393,1999,4,0,3.9999352,61588
"70434",19393,1999,5,0,3.999936,62604
"70435",19393,1999,6,0,3.9999356,62075
"70436",19393,1999,7,0,3.999937,63580
"70437",19393,1999,8,0,3.9999385,65095
"70438",19393,1999,9,0,3.9999359,62453
"70439",19393,2000,1,0,3.9999375,64064
"70440",19393,2000,10,0,3.9999428,70026
"70441",19393,2000,11,0,3.9999402,66880
"70442",19393,2000,12,0,3.9999413,68330
"70443",19393,2000,2,0,3.999935,61453
"70444",19393,2000,3,0,3.9999397,66237
"70445",19393,2000,4,0,3.999938,64590
"70446",19393,2000,5,0,3.9999409,67571
"70447",19393,2000,6,0,3.9999394,65992
"70448",19393,2000,7,0,3.9999404,67231
"70449",19393,2000,8,0,3.9999428,69842
"70450",19393,2000,9,0,3.9999402,66756
"70451",19393,2001,1,0,3.9999428,69991
"70452",19393,2001,10,0,3.9999452,72887
"70453",19393,2001,11,0,3.9999406,67429
"70454",19393,2001,12,0,3.9999406,67461
"70455",19393,2001,2,0,3.9999368,63226
"70456",19393,2001,3,0,3.999943,70299
"70457",19393,2001,4,0,3.9999423,69389
"70458",19393,2001,5,0,3.999944,71245
"70459",19393,2001,6,0,3.9999425,69507
"70460",19393,2001,7,0,3.999945,72681
"70461",19393,2001,8,0,3.9999456,73425
"70462",19393,2001,9,0,3.9999344,61060
"70463",19393,2002,1,0,3.9999428,69989
"70464",19393,2002,10,0,3.9999452,73057
"70465",19393,2002,11,0,3.9999413,68306
"70466",19393,2002,12,0,3.9999435,70665
"70467",19393,2002,2,0,3.9999375,63921
"70468",19393,2002,3,0,3.9999433,70383
"70469",19393,2002,4,0,3.9999425,69532
"70470",19393,2002,5,0,3.999944,71528
"70471",19393,2002,6,0,3.9999428,69921
"70472",19393,2002,7,0,3.9999444,71870
"70473",19393,2002,8,0,3.9999452,72909
"70474",19393,2002,9,0,3.9999428,69974
"70475",19393,2003,1,0,3.9999442,71606
"70476",19393,2003,10,0,3.9999456,73594
"70477",19393,2003,11,0,3.9999418,68777
"70478",19393,2003,12,0,3.9999442,71683
"70479",19393,2003,2,0,3.9999375,64104
"70480",19393,2003,3,0,3.999944,71364
"70481",19393,2003,4,0,3.9999433,70538
"70482",19393,2003,5,0,3.9999442,71809
"70483",19393,2003,6,0,3.9999435,70724
"70484",19393,2003,7,0,3.999945,72670
"70485",19393,2003,8,0,3.999945,72554
"70486",19393,2003,9,0,3.9999435,70802
"70487",19393,2004,1,0,3.999944,71254
"70488",19393,2004,10,0,3.9999478,76739
"70489",19393,2004,11,0,3.999945,72683
"70490",19393,2004,12,0,3.9999478,76587
"70491",19393,2004,2,0,3.9999416,68552
"70492",19393,2004,3,0,3.999946,74181
"70493",19393,2004,4,0,3.9999447,72228
"70494",19393,2004,5,0,3.9999456,73587
"70495",19393,2004,6,0,3.9999454,73291
"70496",19393,2004,7,0,3.999947,75463
"70497",19393,2004,8,0,3.9999478,76580
"70498",19393,2004,9,0,3.9999447,72381
"70499",19393,2005,1,0,3.9999468,75292
"70500",19393,2005,10,0,3.999949,78422
"70501",19393,2005,11,0,3.999947,75488
"70502",19393,2005,12,0,3.9999492,78945
"70503",19393,2005,2,0,3.9999425,69675
"70504",19393,2005,3,0,3.9999487,78020
